epoch,a,b,c,d,mse
1,0.547077476978302,1.4134185314178467,-0.23992036283016205,1.0662657022476196,0.049367692321538925
2,0.5103405714035034,1.3942127227783203,-0.3321715295314789,1.0824724435806274,0.09178245812654495
3,0.47623857855796814,1.4091023206710815,-0.3771669864654541,1.0815445184707642,0.11592702567577362
4,0.44956696033477783,1.374422550201416,-0.4167141616344452,1.093573808670044,0.1400613933801651
5,0.42412829399108887,1.3836888074874878,-0.4364963173866272,1.0900388956069946,0.15164563059806824
6,0.4082094430923462,1.3688504695892334,-0.45944511890411377,1.1015859842300415,0.16716332733631134
7,0.3867475986480713,1.3650010824203491,-0.4708353281021118,1.1009767055511475,0.17360562086105347
8,0.3787839710712433,1.3625788688659668,-0.47532781958580017,1.1097774505615234,0.17648175358772278
9,0.36307382583618164,1.3643287420272827,-0.488017201423645,1.1096761226654053,0.18459366261959076
10,0.362730473279953,1.3629124164581299,-0.5069518089294434,1.1246153116226196,0.2000824213027954
